name,price,url
Pullover Sweatshirt,"Rs. 11,600.00",/en-in/products/pullover-sweatshirt-white?_pos=1&_fid=1f5722e70&_ss=c
Pullover Sweatshirt,"Rs. 11,600.00",/en-in/products/pullover-sweatshirt-black?_pos=2&_fid=1f5722e70&_ss=c
Fringe Mock Neck in Melt,"Rs. 12,500.00",/en-in/products/fringe-mock-neck-black?_pos=3&_fid=1f5722e70&_ss=c
Long Sleeve Crewneck Fringe,"Rs. 24,000.00",/en-in/products/long-sleeve-crewneck-fringe-black-black?_pos=4&_fid=1f5722e70&_ss=c
One Shoulder Convertible Tank in Melt,"Rs. 8,900.00",/en-in/products/one-shoulder-convertible-bra-top-snow-leopard?_pos=5&_fid=1f5722e70&_ss=c
Demi Tank,"Rs. 7,100.00",/en-in/products/demi-tank-bleach-white?_pos=6&_fid=1f5722e70&_ss=c
Sharlie Sweater,"Rs. 16,100.00",/en-in/products/sharlie-sweater-white-navy-stripe?_pos=7&_fid=1f5722e70&_ss=c
Long Sleeve Off Shoulder Tee,"Rs. 8,000.00",/en-in/products/long-sleeve-off-shoulder-tee-deep-lagoon?_pos=8&_fid=1f5722e70&_ss=c
Lazy Diana Top,"Rs. 14,500.00",/en-in/products/lazy-diana-top-dark-grey?_pos=9&_fid=1f5722e70&_ss=c
One Shoulder Peasant Top,"Rs. 13,100.00",/en-in/products/one-shoulder-peasant-top-black?_pos=10&_fid=1f5722e70&_ss=c
Margot Pullover,"Rs. 12,900.00",/en-in/products/margot-pullover-black?_pos=11&_fid=1f5722e70&_ss=c
Sleeveless Golf Top,"Rs. 11,600.00",/en-in/products/sleeveless-golf-top-white?_pos=12&_fid=1f5722e70&_ss=c
Short Sleeve Collared Cardigan,"Rs. 12,500.00",/en-in/products/short-sleeve-collared-cardigan-white?_pos=13&_fid=1f5722e70&_ss=c
Penelope Performance Polo,"Rs. 6,000.00",/en-in/products/penelope-performance-polo-white-blue-knits?_pos=14&_fid=1f5722e70&_ss=c
Slouchy Knit Sweater,"Rs. 14,300.00",/en-in/products/oversized-off-shoulder-sweater-off-white-navy-stripe?_pos=15&_fid=1f5722e70&_ss=c
Short Sleeve Collared Cardigan,"Rs. 12,500.00",/en-in/products/short-sleeve-collared-cardigan-navy?_pos=16&_fid=1f5722e70&_ss=c
Sleeveless Golf Top,"Rs. 11,600.00",/en-in/products/sleeveless-golf-top-navy?_pos=17&_fid=1f5722e70&_ss=c
Racer Tailored Terry Tank Top,"Rs. 11,300.00",/en-in/products/racer-tailored-terry-tank-top-true-navy?_pos=18&_fid=1f5722e70&_ss=c
Slouchy Knit Sweater,"Rs. 14,300.00",/en-in/products/slouchy-knit-sweater-navy?_pos=19&_fid=1f5722e70&_ss=c
Mod Tennis Top,"Rs. 14,300.00",/en-in/products/mod-tennis-top-deep-lagoon?_pos=20&_fid=1f5722e70&_ss=c
Long RacerBack Tank,"Rs. 6,200.00",/en-in/products/long-racerback-tank-slushy?_pos=21&_fid=1f5722e70&_ss=c
Off Shoulder Sweatshirt in French Terry,"Rs. 13,400.00",/en-in/products/off-shoulder-sweatshirt-slushy?_pos=22&_fid=1f5722e70&_ss=c
Colorblock High Neck Tank,"Rs. 9,800.00",/en-in/products/colorblock-high-neck-tank-navy-digital-green?_pos=23&_fid=1f5722e70&_ss=c
Colorblock Cardigan,"Rs. 15,200.00",/en-in/products/colorblock-cardigan-white-tomato-red-pink-lemonaid?_pos=24&_fid=1f5722e70&_ss=c
Delancy Knit Vest,"Rs. 8,900.00",/en-in/products/delancy-knit-vest-woodrose?_pos=25&_fid=1f5722e70&_ss=c
Long Sleeve T Shirt,"Rs. 83,000.00",/en-in/products/long-sleeve-t-shirt-red-blue-space?_pos=26&_fid=1f5722e70&_ss=c
Boulevard Piper Knit Cardigan,"Rs. 19,900.00",/en-in/products/boulevard-piper-knit-cardigan-natural?_pos=27&_fid=1f5722e70&_ss=c
Ribbed crew-neck jumper with contrasting collar,"Rs. 101,100.00",/en-in/products/crewneck-sweater-orange-mulitcolor-gradient-sm9en?_pos=28&_fid=1f5722e70&_ss=c
Fringe Mock Neck in Melt,"Rs. 12,500.00",/en-in/products/fringe-mock-neck-white?_pos=29&_fid=1f5722e70&_ss=c
Mesh Zip Performance Polo,"Rs. 14,900.00",/en-in/products/mesh-zip-performance-polo-white-with-green-trim?_pos=30&_fid=1f5722e70&_ss=c
Agnes Sweater,"Rs. 16,100.00",/en-in/products/agnes-sweater-oxford?_pos=31&_fid=1f5722e70&_ss=c
Cassia Polo,"Rs. 13,500.00",/en-in/products/cassia-polo-papaya?_pos=32&_fid=1f5722e70&_ss=c
Fringe Tank in Melt,"Rs. 11,600.00",/en-in/products/fringe-tank-black?_pos=33&_fid=1f5722e70&_ss=c
Woodstock Viva Crochet Top,"Rs. 17,200.00",/en-in/products/woodstock-viva-crochet-top-multi?_pos=34&_fid=1f5722e70&_ss=c
Bowery Boxy Weekend Cotton Tee,"Rs. 6,400.00",/en-in/products/bowery-boxy-weekend-cotton-tee-white?_pos=35&_fid=1f5722e70&_ss=c
Cap Sleeve Top,"Rs. 12,500.00",/en-in/products/cap-sleeve-top-white?_pos=36&_fid=1f5722e70&_ss=c
Puff Sleeve Tee,"Rs. 12,500.00",/en-in/products/puff-sleeve-tee-white?_pos=37&_fid=1f5722e70&_ss=c
Short Sleeve Ruched Tee,"Rs. 8,000.00",/en-in/products/short-sleeve-ruched-tee-white?_pos=38&_fid=1f5722e70&_ss=c
Elle Top,"Rs. 15,800.00",/en-in/products/elle-top-chantilly?_pos=39&_fid=1f5722e70&_ss=c
Off Shoulder Sweatshirt in French Terry,"Rs. 13,400.00",/en-in/products/off-shoulder-sweatshirt-tomato-puree?_pos=40&_fid=1f5722e70&_ss=c
Bowery Boxy Weekend Cotton Tee,"Rs. 6,400.00",/en-in/products/bowery-boxy-weekend-cotton-tee?_pos=41&_fid=1f5722e70&_ss=c
Short Sleeve Off Shoulder Sweatshirt in French Terry,"Rs. 11,600.00",/en-in/products/short-sleeve-off-shoulder-sweatshirt-black?_pos=42&_fid=1f5722e70&_ss=c
Cap Sleeve Top,"Rs. 12,500.00",/en-in/products/cap-sleeve-top-black?_pos=43&_fid=1f5722e70&_ss=c
Lauren Top,"Rs. 16,700.00",/en-in/products/lauren-top-black?_pos=44&_fid=1f5722e70&_ss=c
Cascata Sweatshirt,"Rs. 13,400.00",/en-in/products/cascata-sweatshirt-black?_pos=45&_fid=1f5722e70&_ss=c
Short Sleeve Ruched Tee,"Rs. 8,000.00",/en-in/products/short-sleeve-ruched-tee-lotus?_pos=46&_fid=1f5722e70&_ss=c
